"runId","scenarioId","dataFormat","architecture","protocol","broker","platform","status","startedAt","endedAt","measureCount","messagesSent","messagesRecv","avgLatency","p50Latency","p95Latency","p99Latency","avgThroughput","avgErrorRate"
"confluent-financer-22f29f","f63dcd44-9596-499c-8a16-02fc09e56695","financial","LCA","Kafka","confluent","Confluent","completed","5/25/2026 10:10:09 PM","5/25/2026 10:20:15 PM","119","50237","50235","5.557","0.597","54.884","76.898","83.51","0"
"kafka-financer-22d3d1","f48df986-5d1d-473f-b61f-9eada649bfe3","financial","LCA","Kafka","kafka","Kafka","completed","5/25/2026 10:30:42 PM","5/25/2026 10:40:49 PM","117","74760","74759","5.523","0.557","67.885","82.931","124.25","0"
"nats-financer-8cbbce","697cfebb-2b90-479b-9d2a-153ca3032e4c","financial","EDA","NATS","nats","NATS Server","completed","5/25/2026 10:20:30 PM","5/25/2026 10:30:33 PM","116","111515","111515","0.58","0.522","0.729","1.024","185.2","0"
"rabbitmq-financer-fc1652","ba23d0e9-12e2-482f-bbe7-abb627d85382","financial","QBA","AMQP","rabbitmq","RabbitMQ","completed","5/25/2026 9:59:57 PM","5/25/2026 10:10:00 PM","116","111656","111656","6.576","0.654","49.2","72.363","185.43","0"
"confluent-iot-5820f8","6762ee77-138b-4eda-bbe5-3bff0022759d","iot","LCA","Kafka","confluent","Confluent","completed","5/25/2026 10:41:03 PM","5/25/2026 10:51:10 PM","117","73474","73469","5.265","0.563","67.375","82.616","122.14","0"
"kafka-iot-a2e85a","ee085cce-d054-4031-8959-44ee7eac89c6","iot","LCA","Kafka","kafka","Kafka","completed","5/25/2026 11:01:36 PM","5/25/2026 11:11:43 PM","117","75398","75397","5.088","0.553","65.927","81.315","125.33","0"
"nats-telemetria-iot-1d0889","858f8562-8e2b-4f9f-b632-9213ce033504","iot","EDA","NATS","nats","NATS Server","completed","5/25/2026 11:11:58 PM","5/25/2026 11:22:02 PM","107","248405","248405","0.525","0.475","0.669","0.934","413.39","0"
"rabbitmq-iot-ac1500","933a5d04-8ae3-4df7-a120-fad35075f372","iot","QBA","AMQP","rabbitmq","RabbitMQ","completed","5/25/2026 10:51:25 PM","5/25/2026 11:01:30 PM","108","248522","248522","8.744","0.662","55.042","74.676","413.47","0"
"confluent-video-4k-14104b","83d4bae4-6d19-4352-a134-a7fcd4c615ce","video-4k","LCA","Kafka","confluent","Confluent","completed","5/25/2026 11:32:21 PM","5/25/2026 11:42:27 PM","120","5029","5028","85.352","9.3","301.21","401.566","8.36","0"
"kafka-video-4k-log-centric-4fd38b","de4cf18e-e5f3-4e7f-8c76-32dc6062a894","video-4k","LCA","Kafka","kafka","Kafka","completed","5/25/2026 11:52:54 PM","5/26/2026 12:03:00 AM","119","5022","5021","86.439","10.086","300.623","401.563","8.35","0"
"nats-video-4k-37a4c1","7bc06e22-f5a1-404c-9db0-aa8a96d2072b","video-4k","EDA","NATS","nats","NATS Server","completed","5/25/2026 11:42:42 PM","5/25/2026 11:52:45 PM","121","5849","5849","13.116","5.305","96.548","104.172","9.72","0"
"rabbitmq-video-4k-b283cf","1fed8714-eb6a-44da-9759-33a05af7167a","video-4k","QBA","AMQP","rabbitmq","RabbitMQ","completed","5/25/2026 11:22:09 PM","5/25/2026 11:32:12 PM","121","5860","5860","15.038","5.551","95.474","103.223","9.73","0"
"confluent-video-8k-b6308e","6b936958-4910-4b1a-b1a3-d84b1c2f7200","video-8k","LCA","Kafka","confluent","Confluent","completed","5/26/2026 12:34:00 AM","5/26/2026 12:44:06 AM","115","1513","1436","13230.265","12799.422","26689.009","28503.995","2.39","0"
"kafka-video-8k-926ccb","32077f2a-823f-49b1-828b-67e9d775e288","video-8k","LCA","Kafka","kafka","Kafka","completed","5/26/2026 12:23:38 AM","5/26/2026 12:33:45 AM","115","1507","1422","14035.572","11700.695","33499.146","34399.364","2.36","0"
"nats-video-8k-450596","627ef6a7-6838-4463-8351-326687c12430","video-8k","EDA","NATS","nats","NATS Server","completed","5/26/2026 12:13:27 AM","5/26/2026 12:23:29 AM","119","2109","2109","168.799","153.097","301.944","504.035","3.51","0"
"rabbitmq-video-8k-65c17f","959842a3-893f-43c4-8c5e-36313e7eb42e","video-8k","QBA","AMQP","rabbitmq","RabbitMQ","completed","5/26/2026 12:03:15 AM","5/26/2026 12:13:18 AM","121","2350","2349","91.81","81.541","209.06","402.913","3.9","0"
